invoice_number,invoice_date,vendor_id,vendor_name,description,amount,currency,cost_center,po_number,approved_by
INV-20072,03-18-2025,V-1008,BioReagent Direct,Lab consumables order,86964.57,EUR,CC-COM-440,PO-74951,r.okafor
INV-20111,22.06.2025,V-1001,  LABTECH SOLUTIONS GMBH ,Logistics & freight,3479.64,EUR,CC-OPS-330,PO-76272,r.okafor
INV-20107,02/07/2025,V-1001,  LABTECH SOLUTIONS GMBH ,Equipment maintenance,84170.64,EUR,CC-FIN-100,PO-78897,l.chen
INV-20022,03.07.2025,V-1008,BioReagent Direct,Q3 consulting services,78818.79,EUR,CC-FIN-100,PO-74291,a.kowalski
INV-20077,07-06-2025,V1010,Crown Travel Partners,Cloud hosting,5148.47,eur,CC-COM-440,,l.chen
INV-20002,07.03.2025,V-1010,Crown Travel Partners,Equipment maintenance,21082.18,GBP,CC-OPS-330,PO-72615,m.garcia
INV-20046,23.08.2025,V-1009,Stellar Facilities Mgmt,Logistics & freight,25868.3,EUR,CC-RND-210,PO-75169,m.garcia
INV-20078,06-02-2025,V-1009,Stellar Facilities Mgmt,Q2 consulting services,43611.59,EUR,CC-FIN-100,PO-76984,
INV-20119,02-21-2025,V-1007,Quanta Cloud Services,Facilities services,61045.65,EUR,CC-COM-440,PO-76653,j.smith
INV-20125,20.04.2025,V-1006,PharmaPrint Studios,Q2 consulting services,47597.39,EUR,CC-IT-550,PO-77761,j.smith
INV-20071,02-01-2025,V-1006,PharmaPrint Studios,Conference & travel,51057.79,USD,CC-RND-210,PO-74295,r.okafor
INV-20063,23.09.2025,V-1007,Quanta Cloud Services,Statistical analysis support,82899.36,EUR,CC-FIN-100,PO-74708,m.garcia
INV-20098,13/06/2025,V-1010,Crown Travel Partners,Statistical analysis support,15564.28,eur,CC-OPS-330,PO-70715,j.smith
INV-20103,07/02/2025,V-1002,ClinSupply Iberia S.L.,Statistical analysis support,52217.62,eur,CC-IT-550,PO-74720,l.chen
INV-20091,25.11.2025,V-1003,  DATABRIDGE ANALYTICS LTD ,Statistical analysis support,64765.08,GBP,CC-OPS-330,PO-75179,a.kowalski
INV-20035,08.04.2025,V-1002,ClinSupply Iberia S.L.,Logistics & freight,65980.32,eur,CC-IT-550,PO-75421,m.garcia
INV-20024,06-04-2025,V-1004,MedPack Logistics BV,Statistical analysis support,74150.62,USD,CC-COM-440,,r.okafor
INV-20061,16.09.2025,V-1001,Labtech Solutions GmbH,Software licence renewal,36787.99,eur,CC-COM-440,PO-72068,
INV-20064,2025-06-10,V-1008,BioReagent Direct,Equipment maintenance,4540.86,EUR,CC-RND-210,PO-72385,a.kowalski
INV-20086,22.09.2025,V1002,ClinSupply Iberia S.L.,Q3 consulting services,50143.89,EUR,CC-OPS-330,PO-79819,j.smith
INV-20042,10-14-2025,V-1007,Quanta Cloud Services,Software licence renewal,60446.18,USD,CC-COM-440,,
INV-20090,17/03/2025,V-1009,Stellar Facilities Mgmt,Conference & travel,86079.59,EUR,CC-FIN-100,PO-72419,r.okafor
INV-20130,10-08-2025,V-1010,Crown Travel Partners,Equipment maintenance,53097.78,EUR,CC-OPS-330,PO-78011,a.kowalski
INV-20120,20/05/2025,V-1008,BioReagent Direct,Conference & travel,29819.07,eur,CC-OPS-330,PO-75658,r.okafor
INV-20073,18/01/2025,V-1002,ClinSupply Iberia S.L.,Marketing materials,37031.4,EUR,CC-OPS-330,PO-72531,
INV-20117,11/04/2025,V-1005,Helix Consulting AG,Equipment maintenance,32989.91,GBP,CC-RND-210,PO-79024,m.garcia
INV-20014,04.04.2025,V-1007,Quanta Cloud Services,Facilities services,33774.5,USD,CC-FIN-100,,r.okafor
INV-20062,24/10/2025,V-1002,ClinSupply Iberia S.L.,Software licence renewal,39054.17,eur,CC-IT-550,PO-74342,m.garcia
INV-20113,15/09/2025,V-1005,Helix Consulting AG,Facilities services,94655.34,EUR,CC-FIN-100,,j.smith
INV-20101,05.12.2025,V1005,Helix Consulting AG,Facilities services,8876.28,EUR,CC-OPS-330,PO-76797,a.kowalski
INV-20026,27/08/2025,V-1008,BioReagent Direct,Logistics & freight,21317.61,eur,CC-IT-550,PO-71137,
INV-20082,09-10-2025,V-1001,Labtech Solutions GmbH,Logistics & freight,10003.41,GBP,CC-OPS-330,PO-73674,j.smith
INV-20129,11.06.2025,V-1003,DataBridge Analytics Ltd,Software licence renewal,50005.74,EUR,CC-OPS-330,PO-75608,
INV-20041,04-23-2025,V-1002,ClinSupply Iberia S.L.,Lab consumables order,80804.8,GBP,CC-FIN-100,PO-75688,l.chen
INV-20092,2025-02-17,V1010,Crown Travel Partners,Q1 consulting services,29612.87,USD,CC-IT-550,PO-74703,m.garcia
INV-20040,2025-06-20,V-1006,PharmaPrint Studios,Equipment maintenance,73930.23,EUR,CC-RND-210,PO-75111,m.garcia
INV-20065,22/12/2025,V-1002,ClinSupply Iberia S.L.,Software licence renewal,47368.81,GBP,CC-OPS-330,PO-74161,j.smith
INV-20138,05-22-2025,V-1005,Helix Consulting AG,Equipment maintenance,65633.33,eur,CC-OPS-330,PO-73590,a.kowalski
INV-20038,02-13-2025,V-1003,DataBridge Analytics Ltd,Conference & travel,"20,249.63",EUR,CC-OPS-330,PO-76906,
INV-20122,16.04.2025,V-1006,PharmaPrint Studios,Facilities services,47472.4,EUR,CC-FIN-100,,m.garcia
INV-20004,2025-06-03,V-1006,PharmaPrint Studios,Lab consumables order,62880.99,EUR,CC-RND-210,PO-76227,j.smith
INV-20137,08.08.2025,V-1001,Labtech Solutions GmbH,Equipment maintenance,71651.21,EUR,CC-COM-440,PO-70187,l.chen
INV-20136,22/09/2025,V-1006,PharmaPrint Studios,Cloud hosting,16820.43,eur,CC-RND-210,PO-71421,
INV-20076,06-01-2025,V-1006,PharmaPrint Studios,Software licence renewal,81574.07,EUR,CC-RND-210,PO-72858,l.chen
INV-20100,26/04/2025,V-1007,Quanta Cloud Services,Facilities services,82958.04,EUR,CC-RND-210,PO-71680,a.kowalski
INV-20034,07-27-2025,V1008,BioReagent Direct,Facilities services,72794.45,GBP,CC-IT-550,PO-77206,r.okafor
INV-20043,12-19-2025,V-1008,BioReagent Direct,Lab consumables order,30740.92,EUR,CC-COM-440,PO-73995,a.kowalski
INV-20010,11.03.2025,V-1009,Stellar Facilities Mgmt,Equipment maintenance,2026.78,EUR,CC-FIN-100,,j.smith
INV-20108,07-26-2025,V-1006,PharmaPrint Studios,Facilities services,41611.73,USD,CC-FIN-100,PO-73060,
INV-20106,07-02-2025,V-1010,Crown Travel Partners,Software licence renewal,51953.02,eur,CC-COM-440,PO-77840,r.okafor
INV-20140,18/06/2025,V-1009,Stellar Facilities Mgmt,Facilities services,15781.41,GBP,CC-RND-210,PO-79554,m.garcia
INV-20044,05-07-2025,V-1006,PharmaPrint Studios,Equipment maintenance,75830.46,EUR,CC-COM-440,PO-74526,l.chen
